2021-02-01 17:05:09.432254,slug,D.Va,Damage Blocked - Avg per 10 Min,371
2021-02-01 17:05:09.432254,slug,D.Va,Damage Blocked - Most in Game,1167
2021-02-01 17:05:09.432254,slug,D.Va,Mech Deaths,181
2021-02-01 17:05:09.432254,slug,D.Va,Mechs Called,95
2021-02-01 17:05:09.432254,slug,D.Va,Mechs Called - Avg per 10 Min,4.53
2021-02-01 17:05:09.432254,slug,D.Va,Mechs Called - Most in Game,10
2021-02-01 17:05:09.432254,slug,D.Va,Self-Destruct Kills,55
2021-02-01 17:05:09.432254,slug,D.Va,Self-Destruct Kills - Avg per 10 Min,2.62
2021-02-01 17:05:09.432254,slug,D.Va,Self-Destruct Kills - Most in Game,8
2021-02-01 17:05:09.432254,slug,D.Va,Turrets Destroyed,3
2021-02-01 17:05:09.432254,slug,D.Va,Medals - Bronze,27
2021-02-01 17:05:09.432254,slug,D.Va,Medals - Silver,34
2021-02-01 17:05:09.432254,slug,D.Va,Medals - Gold,20
2021-02-01 17:05:09.432254,slug,D.Va,Medals,81
2021-02-01 17:05:09.432254,slug,D.Va,Cards,9
2021-02-01 17:05:09.432254,slug,D.Va,All Damage Done - Avg per 10 Min,7390
2021-02-01 17:05:09.432254,slug,D.Va,Barrier Damage Done - Avg per 10 Min,2155
2021-02-01 17:05:09.432254,slug,D.Va,Critical Hits - Avg per 10 Min,180
2021-02-01 17:05:09.432254,slug,D.Va,Deaths - Avg per 10 Min,6.05
2021-02-01 17:05:09.432254,slug,D.Va,Eliminations - Avg per 10 Min,21.17
2021-02-01 17:05:09.432254,slug,D.Va,Eliminations per Life,3.50
2021-02-01 17:05:09.432254,slug,D.Va,Final Blows - Avg per 10 Min,7.10
2021-02-01 17:05:09.432254,slug,D.Va,Hero Damage Done - Avg per 10 Min,5050
2021-02-01 17:05:09.432254,slug,D.Va,Objective Kills - Avg per 10 Min,6.15
2021-02-01 17:05:09.432254,slug,D.Va,Objective Time - Avg per 10 Min,66
2021-02-01 17:05:09.432254,slug,D.Va,Solo Kills - Avg per 10 Min,2.34
2021-02-01 17:05:09.432254,slug,D.Va,Time Spent on Fire - Avg per 10 Min,31
2021-02-01 17:05:09.432254,slug,Lúcio,All Damage Done,7935
2021-02-01 17:05:09.432254,slug,Lúcio,Barrier Damage Done,3065
2021-02-01 17:05:09.432254,slug,Lúcio,Critical Hit Accuracy,0.05
2021-02-01 17:05:09.432254,slug,Lúcio,Critical Hits,11
2021-02-01 17:05:09.432254,slug,Lúcio,Deaths,17
2021-02-01 17:05:09.432254,slug,Lúcio,Eliminations,15
2021-02-01 17:05:09.432254,slug,Lúcio,Final Blows,5
2021-02-01 17:05:09.432254,slug,Lúcio,Hero Damage Done,4737
2021-02-01 17:05:09.432254,slug,Lúcio,Objective Kills,6
2021-02-01 17:05:09.432254,slug,Lúcio,Objective Time,83
2021-02-01 17:05:09.432254,slug,Lúcio,Weapon Accuracy,0.19
2021-02-01 17:05:09.432254,slug,Lúcio,Games Lost,2
2021-02-01 17:05:09.432254,slug,Lúcio,Games Played,2
2021-02-01 17:05:09.432254,slug,Lúcio,Time Played,1245
2021-02-01 17:05:09.432254,slug,Lúcio,All Damage Done - Most in Game,4214
2021-02-01 17:05:09.432254,slug,Lúcio,All Damage Done - Most in Life,1315
2021-02-01 17:05:09.432254,slug,Lúcio,Barrier Damage Done - Most in Game,1845
2021-02-01 17:05:09.432254,slug,Lúcio,Critical Hits - Most in Game,6
2021-02-01 17:05:09.432254,slug,Lúcio,Critical Hits - Most in Life,3
2021-02-01 17:05:09.432254,slug,Lúcio,Eliminations - Most in Game,8
2021-02-01 17:05:09.432254,slug,Lúcio,Eliminations - Most in Life,4
2021-02-01 17:05:09.432254,slug,Lúcio,Final Blows - Most in Game,3
2021-02-01 17:05:09.432254,slug,Lúcio,Hero Damage Done - Most in Game,2448
2021-02-01 17:05:09.432254,slug,Lúcio,Hero Damage Done - Most in Life,1015
2021-02-01 17:05:09.432254,slug,Lúcio,Kill Streak - Best,4
2021-02-01 17:05:09.432254,slug,Lúcio,Objective Kills - Most in Game,4
2021-02-01 17:05:09.432254,slug,Lúcio,Objective Time - Most in Game,67
2021-02-01 17:05:09.432254,slug,Lúcio,Weapon Accuracy - Best in Game,0.18
2021-02-01 17:05:09.432254,slug,Lúcio,Self Healing,3738
2021-02-01 17:05:09.432254,slug,Lúcio,Self Healing - Avg per 10 Min,1801
2021-02-01 17:05:09.432254,slug,Lúcio,Self Healing - Most in Game,2600
2021-02-01 17:05:09.432254,slug,Lúcio,Sound Barriers Provided,24
2021-02-01 17:05:09.432254,slug,Lúcio,Sound Barriers Provided - Avg per 10 Min,11.57
2021-02-01 17:05:09.432254,slug,Lúcio,Sound Barriers Provided - Most in Game,15
2021-02-01 17:05:09.432254,slug,Lúcio,Medals - Bronze,2
